id,recordingid,shotid,sequenceid,url,date,format,camera,subjectid,glasses,source1,emotion,source2,rank,lefteye,righteye,nose,mouth,yaw,pitch,stageid,weather,collectionid,environmentid,sensorid,illuminantid,illuminantid1,illuminantid2,state,fileid,by_user,lastcheck,date_added,added_by,comment,temp_collectionid,enrolled_date,fileid,userkey,checksum,extension,size,lastcheck,rank,fstate,subjectid,gender,source1,YOB,source2,race,source3,sequence,date_added,s_irises,ethnicity
44403,nd5R55000,2008-093-010-post-activity-still.NEF,05213d305,NULL,04_02_2008,nef,NULL,nd1S05213,Yes,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00012,stdI00003,stdI00003,NULL,enrolled,235221,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235221,2008-093-010-post-activity-still,e4a46c6c6c93347b5d677db174b28382,nef,8936363,05_02_2012,0,ok,nd1S05213,Female,Given,1953,Given,White,Retrospectively,702,02_12_2010,189943,NULL
44404,nd5R55001,2008-093-010-post-mugshot.JPG,05213d306,NULL,04_02_2008,jpeg,NULL,nd1S05213,Yes,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00014,stdI00003,stdI00003,NULL,enrolled,235222,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235222,2008-093-010-post-mugshot.JPG,2d402ebebdf219b59c48e5a3c3c93b32,jpg,906718,12_05_2012,0,ok,nd1S05213,Female,Given,1953,Given,White,Retrospectively,702,02_12_2010,189943,NULL
44402,nd5R55002,2008-093-010-passport.NEF,05213d307,NULL,04_02_2008,nef,NULL,nd1S05213,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00010,Inside,nd1C00011,nd1E00042,nd1N00013,nd1I00010,nd1I00010,NULL,enrolled,235220,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235220,2008-093-010-passport.NEF,10ba05351013682f74ae74c16f40866e,nef,5319682,05_16_2012,0,ok,nd1S05213,Female,Given,1953,Given,White,Retrospectively,702,02_12_2010,189943,NULL
44399,nd5R55003,2008-093-009-pre-mugshot.JPG,05248d329,NULL,04_02_2008,jpeg,NULL,nd1S05248,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00014,stdI00003,stdI00003,NULL,enrolled,235217,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235217,2008-093-009-pre-mugshot.JPG,7968a5ce6f2fd023946b0acbe8551db8,jpg,856840,05_04_2012,0,ok,nd1S05248,Female,Given,1963,Given,White,Retrospectively,1189,07_12_2010,198509,NULL
44400,nd5R55004,2008-093-010-face-closeup.NEF,05213d308,NULL,04_02_2008,nef,NULL,nd1S05213,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00010,Inside,nd1C00011,nd1E00041,nd1N00012,nd1I00010,nd1I00010,NULL,enrolled,235218,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235218,2008-093-010-face-closeup.NEF,64301a41637088805c6e58515f2ede46,nef,8732807,05_16_2012,0,ok,nd1S05213,Female,Given,1953,Given,White,Retrospectively,702,02_12_2010,189943,NULL
44401,nd5R55005,2008-093-010-hq.NEF,05213d309,NULL,04_02_2008,nef,NULL,nd1S05213,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00010,Inside,nd1C00011,nd1E00041,nd1N00012,nd1I00010,nd1I00010,NULL,enrolled,235219,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235219,2008-093-010-hq.NEF,c702d61312031aee7aca5e59836bda7d,nef,8749410,05_16_2012,0,ok,nd1S05213,Female,Given,1953,Given,White,Retrospectively,702,02_12_2010,189943,NULL
44398,nd5R55006,2008-093-009-pre-activity-still.NEF,05248d330,NULL,04_02_2008,nef,NULL,nd1S05248,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00012,stdI00003,stdI00003,NULL,enrolled,235216,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235216,2008-093-009-pre-activity-still.,14fffc9b8616e4fa855f373dfdcdd7ad,nef,8894718,05_16_2012,0,ok,nd1S05248,Female,Given,1963,Given,White,Retrospectively,1189,07_12_2010,198509,NULL
44397,nd5R55007,2008-093-009-post-mugshot.JPG,05248d331,NULL,04_02_2008,jpeg,NULL,nd1S05248,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00014,stdI00003,stdI00003,NULL,enrolled,235215,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235215,2008-093-009-post-mugshot.JPG,da67fb52e46cf1e122e6d79e142ac075,jpg,900433,05_16_2012,0,ok,nd1S05248,Female,Given,1963,Given,White,Retrospectively,1189,07_12_2010,198509,NULL
44396,nd5R55008,2008-093-009-post-activity-still.NEF,05248d332,NULL,04_02_2008,nef,NULL,nd1S05248,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00012,stdI00003,stdI00003,NULL,enrolled,235214,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235214,2008-093-009-post-activity-still,9dfa836f5ae73880e983c77292296853,nef,8841264,12_05_2012,0,ok,nd1S05248,Female,Given,1963,Given,White,Retrospectively,1189,07_12_2010,198509,NULL
44395,nd5R55009,2008-093-009-passport.NEF,05248d333,NULL,04_02_2008,nef,NULL,nd1S05248,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00010,Inside,nd1C00011,nd1E00042,nd1N00013,nd1I00010,nd1I00010,NULL,enrolled,235213,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235213,2008-093-009-passport.NEF,e18e7871161889f3cf86e0e5ba398a47,nef,5339380,05_16_2012,0,ok,nd1S05248,Female,Given,1963,Given,White,Retrospectively,1189,07_12_2010,198509,NULL
