subjectid,gender,YOB,race
nd1S07056,Male,1929,White
nd1S90190,Male,1930,White
nd1S90189,Male,1930,White
nd1S90266,Female,1931,White
nd1S07059,Male,1931,White
nd1S90359,Female,1932,White
nd1S90358,Female,1932,White
nd1S90161,Male,1932,
nd1S90160,Male,1932,
nd1S07053,Male,1932,White
nd1S90410,Female,1933,White
nd1S90411,Female,1933,White
nd1S04513,Female,1934,White
nd1S07058,Male,1934,White
nd1S90472,Male,1934,Black-or-African-American
nd1S90473,Male,1934,Black-or-African-American
nd1S90064,Male,1935,White
nd1S07055,Male,1935,White
nd1S90065,Male,1935,White
nd1S07052,Male,1935,White
nd1S07057,Male,1935,White
nd1S07054,Male,1936,White
nd1S90217,Male,1936,White
nd1S90153,Female,1936,White
nd1S90154,Female,1936,White
nd1S90216,Male,1936,White
nd1S07060,Male,1937,White
nd1S90119,Male,1938,White
nd1S90118,Male,1938,White
nd1S90427,Female,1939,White
nd1S90426,Female,1939,White
nd1S90284,Female,1940,White
nd1S90285,Female,1940,White
nd1S90330,Female,1941,White
nd1S90331,Female,1941,White
nd1S90164,Female,1941,White
nd1S90165,Female,1941,White
nd1S90199,Female,1941,White
nd1S90200,Female,1941,White
nd1S90448,Female,1942,White
nd1S90346,Female,1943,White
nd1S90347,Female,1943,White
nd1S04572,Female,1943,White
nd1S90004,Male,1944,White
nd1S90005,Male,1944,White
nd1S90244,Female,1944,White
nd1S90237,Female,1944,White
nd1S90236,Female,1944,White
nd1S90375,Female,1944,White
nd1S90376,Female,1944,White
nd1S90245,Female,1944,White
